Date|Time|Lat|Lng|Weather|Nautical_Twilight
1/24/19|8:07:24 AM|35.79139951|-78.84721909|RAIN|DAYLIGHT
4/10/19|3:10:49 PM|35.80024042|-78.74548084|CLEAR|DARK - UNKNOWN LIGHTING
4/16/19|6:26:42 PM|35.77493517|-78.86421564|CLEAR|DAYLIGHT
4/18/19|12:59 PM|35.8061737|-78.80799177|CLEAR|DAYLIGHT
4/23/19|5:33:21 PM|35.73789038|-78.77946603|CLEAR|DAYLIGHT
4/24/19|12:45 PM|35.60195368|-78.79930456|CLEAR|DAYLIGHT
4/23/19|2:18:34 PM|35.73547569|-78.88858816|CLEAR|DAYLIGHT
4/23/19|6:35:41 PM|35.79890362|-78.90030920000001|CLEAR|DAYLIGHT
4/23/19|1:38:25 PM|35.78996957|-78.77381773|CLEAR|DAYLIGHT
4/25/19|12:34 PM|35.81703098|-78.86526266|CLEAR|DAYLIGHT
4/27/19|1:38:18 AM|35.77766639|-78.81361001|CLEAR|DAYLIGHT
4/29/19|3:06:47 AM|35.78735488|-78.77044017|CLEAR|DARK - LIGHTED ROADWAY
4/30/19|5:26:38 PM|35.72256873|-78.82042788|CLEAR|DAYLIGHT
5/1/19|11:18 AM|35.77679342|-78.79388668|CLEAR|DAYLIGHT
5/1/19|6:35:38 AM|35.74762093|-78.7518794|CLEAR|DAYLIGHT
5/7/19|7:49:54 PM|35.60195368|-78.79930456|CLEAR|DAYLIGHT
5/11/19|2:06:29 PM|35.82367022|-78.83724226|CLEAR|DAYLIGHT
5/15/19|2:53:13 PM|35.75015236|-78.75261225|CLEAR|DAYLIGHT
1/31/19|3:49:40 PM|35.78774169|-78.8708349|CLEAR|DAYLIGHT
2/3/19|6:09:04 PM|35.77371711|-78.84604471|CLEAR|DAYLIGHT
1/25/19|1:32:58 PM|35.80809591|-78.87058863|CLEAR|DAYLIGHT
2/5/19|7:12:13 PM|35.76963264|-78.87408569|CLEAR|DARK - ROADWAY NOT LIGHTED
2/8/19|3:20:19 PM|35.76654465|-78.76447453|CLEAR|DAYLIGHT
2/9/19|11:01 AM|35.77846832|-78.87242540000001|CLEAR|DAYLIGHT
2/10/19|11:20 PM|35.73215576|-78.80879452|CLEAR|DARK - LIGHTED ROADWAY
2/13/19|2:21:02 PM|35.75954137|-78.74137283|CLEAR|DAYLIGHT
2/17/19|12:11 PM|35.76439558|-78.81067341|RAIN|DAYLIGHT
2/15/19|1:59:36 AM|35.60195368|-78.79930456|CLOUDY|DARK - LIGHTED ROADWAY
2/22/19|4:13:49 PM|35.7908493|-78.85089213|RAIN|DAYLIGHT
2/24/19|10:18 PM|35.77311021|-78.87341952|RAIN|DARK - ROADWAY NOT LIGHTED
2/26/19|10:15 AM|35.78803174|-78.86656781|CLEAR|DAYLIGHT
2/22/19|8:03:49 PM|35.7632103|-78.74513216|SLEET, HAIL, FREEZING RAIN/DRIZZLE|DARK - LIGHTED ROADWAY
2/28/19|11:15 AM|35.7632103|-78.74513216|CLEAR|DAYLIGHT
3/1/19|7:16:19 AM|35.76834781|-78.87432915|RAIN|DAYLIGHT
3/1/19|8:27:17 AM|35.78774169|-78.8708349|CLOUDY|DAYLIGHT
5/17/19|8:20:58 AM|35.81369569|-78.87268266|CLOUDY|DAYLIGHT
5/18/19|4:47:12 PM|35.83142761|-78.78012636|CLEAR|DAYLIGHT
5/20/19|6:38:27 PM|35.79516885|-78.74809037|CLEAR|DAYLIGHT
5/21/19|4:21:48 PM|35.79967858|-78.79489821|CLEAR|DAYLIGHT
5/22/19|9:49:13 AM|35.82914574|-78.88418316|CLOUDY|DAYLIGHT
5/25/19|9:12:19 PM|35.73732785|-78.75777721|CLEAR|DAYLIGHT
5/26/19|3:03:44 PM|35.77296461|-78.86037199|CLEAR|DAYLIGHT
5/29/19|7:43:22 AM|35.79447744|-78.79146641|CLEAR|DARK - UNKNOWN LIGHTING
5/28/19|6:25:40 PM|35.94463947|-78.5620243|CLEAR|DAYLIGHT
5/31/19|9:05:13 AM|35.66910488|-78.94941506|CLEAR|DAYLIGHT
5/30/19|7:56:08 AM|35.73627397|-78.78770167|CLEAR|DAYLIGHT
6/1/19|10:02 AM|35.74210116|-78.88001951|CLEAR|DAYLIGHT
6/5/19|7:44:51 AM|35.78345866|-78.8724559|CLOUDY|DAYLIGHT
6/5/19|2:16:36 PM|35.66910488|-78.94941509|CLOUDY|DAYLIGHT
6/7/19|3:18:48 PM|35.81806585|-78.82251578|RAIN|DAYLIGHT
6/6/19|8:16:43 PM|35.80343121|-78.91149466|CLEAR|DAYLIGHT
6/12/19|6:48:57 PM|35.76936742|-78.78185835|RAIN|DAYLIGHT
6/14/19|8:50:08 AM|35.74210116|-78.88001951|CLEAR|DAYLIGHT
6/14/19|9:08:27 AM|35.81129722|-78.79728915|CLEAR|DAYLIGHT
6/15/19|7:58:49 AM|35.78811705|-78.84793334|CLEAR|DAYLIGHT
6/21/19|2:51:26 PM|35.7884119|-78.79643487|CLEAR|DAYLIGHT
6/21/19|5:00:06 PM|35.77605245|-78.78963356|CLEAR|DAYLIGHT
6/17/19|1:02:34 AM|35.78743049|-78.77977267|CLEAR|DAYLIGHT
6/29/19|8:14:26 AM|35.7902276|-78.77203916|CLEAR|DARK - LIGHTED ROADWAY
6/29/19|9:34:30 AM|35.78202409|-78.90371883|CLEAR|DAYLIGHT
6/28/19|9:19:07 PM|35.77822661|-78.82988205|CLEAR|UNKNOWN
7/1/19|6:54:06 PM|35.74045593|-78.77600537|CLEAR|DAYLIGHT
7/3/19|10:17 AM|35.79212544|-78.8448573|CLEAR|DAYLIGHT
7/4/19|11:30 AM|35.77507282|-78.81398682|CLEAR|DAYLIGHT
7/10/19|3:35:24 PM|35.83669194|-78.90772597|CLEAR|DAYLIGHT
7/11/19|9:20:24 AM|35.82206071|-78.85523454|CLEAR|DAYLIGHT
7/18/19|8:17:08 PM|35.79889312|-78.90026413|CLEAR|DAYLIGHT
6/25/19|3:59:51 PM|35.78904939|-78.85282374|CLEAR|DAYLIGHT
6/24/19|1:49:50 PM|35.68698486|-78.78664211|CLEAR|DAYLIGHT
7/3/19|6:44:02 PM|35.79597331|-78.91960399|CLEAR|DAYLIGHT
7/7/19|12:43 PM|35.77179543|-78.84761935|CLEAR|DAYLIGHT
7/13/19|2:03:27 PM|35.85116102|-78.89248437|CLEAR|DAYLIGHT
7/12/19|10:21 PM|35.79885142|-78.76707111|CLEAR|DARK - ROADWAY NOT LIGHTED
7/18/19|3:09:46 PM|35.59574902|-78.78834502|CLEAR|DAYLIGHT
7/20/19|9:40:34 AM|35.77974494|-78.80702664|CLEAR|DAYLIGHT
7/20/19|12:16 PM|35.69115475|-78.83799018|CLEAR|DAYLIGHT
7/25/19|8:10:52 PM|35.78940107|-78.85715932|CLEAR|DUSK
3/6/19|4:42:43 PM|35.79175649|-78.81263716|CLEAR|DAYLIGHT
3/7/19|9:42:33 AM|35.87255871|-78.81609053|CLEAR|DAYLIGHT
3/8/19|10:48 AM|35.81880834|-78.90247508|CLOUDY|DAYLIGHT
3/9/19|12:41 AM|35.76592865|-78.84337971|RAIN|DARK - ROADWAY NOT LIGHTED
3/9/19|12:46 AM|35.779856200000005|-78.80285377|CLEAR|DARK - LIGHTED ROADWAY
3/10/19|7:46:04 AM|35.62067786|-78.73056383|RAIN|DARK - LIGHTED ROADWAY
3/11/19|8:45:05 AM|35.79623298|-78.87188313|CLEAR|DAYLIGHT
3/8/19|4:48:34 PM|35.85867135|-78.81061581|CLOUDY|DAYLIGHT
3/19/19|3:42:56 PM|35.89130863|-78.80343717|CLEAR|DAYLIGHT
3/20/19|1:53:09 PM|35.87663128|-78.87608051|CLOUDY|DAYLIGHT
3/20/19|7:23:45 PM|35.83932477|-78.90169453|CLOUDY|DUSK
3/19/19|3:19:07 PM|35.85116104|-78.89248437|CLEAR|DAYLIGHT
3/22/19|10:01 AM|35.83262624|-78.87502497|CLEAR|DAYLIGHT
3/22/19|12:54 AM|35.75839863|-78.79513221|CLEAR|DARK - ROADWAY NOT LIGHTED
3/22/19|2:27:35 PM|35.82059377|-78.77624294|CLEAR|DAYLIGHT
3/21/19|8:10:27 AM|35.7744957|-78.76688293|RAIN|DARK - LIGHTED ROADWAY
3/27/19|7:29:32 PM|35.77537357|-78.76721079|CLEAR|DARK - LIGHTED ROADWAY
3/25/19|5:52:44 PM|35.78425574|-78.79275882|CLOUDY|DAYLIGHT
3/28/19|8:53:25 PM|35.76635379|-78.73572499|CLEAR|DARK - LIGHTED ROADWAY
4/2/19|3:55:26 PM|35.79467098|-78.57601469|RAIN|DAYLIGHT
4/4/19|9:20:11 PM|35.741518299999996|-78.80973072|CLEAR|DAYLIGHT
4/5/19|1:36:39 PM|35.7367539|-78.7786444|RAIN|DAYLIGHT
3/19/19|9:15:39 PM|35.76635376|-78.73572499|CLEAR|DAYLIGHT
4/5/19|6:26:30 PM|35.73924226|-78.78936655|RAIN|DAYLIGHT
4/11/19|2:38:49 PM|35.85904634|-78.81712359|CLEAR|DAYLIGHT
4/12/19|1:47:57 PM|36.00341055|-78.51451363|RAIN|DAYLIGHT
4/19/19|8:33:41 PM|35.7632103|-78.74513216|CLOUDY|DUSK
4/22/19|3:21:18 PM|35.74001409|-78.84656796|CLEAR|DAYLIGHT
4/24/19|5:44:32 PM|35.71921234|-79.18107651|CLEAR|DAYLIGHT
4/25/19|7:04:07 AM|35.82407067|-78.90258592|CLEAR|DAYLIGHT
4/24/19|4:24:28 PM|35.79542541|-78.7746691|CLEAR|DAYLIGHT
4/25/19|6:03:02 PM|35.79509317|-78.81608628|CLEAR|DAYLIGHT
4/27/19|3:29:42 PM|35.76126621|-78.74187459999999|CLEAR|DAYLIGHT
5/1/19|3:41:38 PM|35.59574902|-78.78834502|CLEAR|DAYLIGHT
5/1/19|2:43:07 PM|35.80060734|-78.76612055|CLEAR|DAYLIGHT
4/30/19|4:09:10 PM|35.737154100000005|-78.79085468|CLEAR|DAYLIGHT
5/10/19|12:00 PM|35.79395181|-78.84740098|CLEAR|DAYLIGHT
5/10/19|9:08:47 AM|35.771527|-78.82771629999999|CLEAR|DAYLIGHT
